id,name,fix_type,before,after
off_5601c92637,Eliges arroz extra,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_568f3dd901,Arroz rojo,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_20b9ddd3db,Arroz bomba selección,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_c9ac8fe0ee,Arroz basmati integral,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_4860a4a918,La Fallera Arroz Extra,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_6873ad23ce,Arroz semi integral de cultivo ecológico,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_418e42e386,Penis Pasta,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_1cbc868cc0,Arroz Basmati San Miguel,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_5d87d4bb09,Arroz bomba La Fallera,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_09f9e810bd,La Campana Arroz Bomba D. o. Valencia,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_1748ecc352,Fideos con quinoa sin gluten,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_a770abb95b,Fideos de arroz,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_0c0508735a,Arroz Parboil,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_dca137369b,Spaghetti de arroz,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_25f82107fc,Arroz Largo categoria primera,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_640dade38b,Arroz de grano grueso especial paella,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_9d5907853d,Arroz y Quinoa Natural Company,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_99bfb357b3,Arroz D.O. Calasparra,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
